date,date,BHC,BBQ,네네치킨,맘스터치,푸라닭,또래오래,신전떡볶이,처갓집,풀무원,애슐리,버거킹,CJ,쿠캣마켓,코스트코,마켓컬리
2019,12,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,381,79,23.0,4.0,20.0,12.0,13.0,13.0,13.0,3.0,3.0,2.0,0.0,9.0,4.0
2020,2,507,93,19.0,4.0,35.0,28.0,14.0,20.0,74.0,1.0,5.0,14.0,0.0,19.0,1.0
2020,3,666,60,36.0,2.0,78.0,27.0,4.0,9.0,110.0,0.0,10.0,17.0,0.0,16.0,1.0
2020,4,549,75,33.0,54.0,142.0,25.0,17.0,5.0,75.0,7.0,9.0,17.0,2.0,8.0,8.0
2020,5,458,58,12.0,173.0,100.0,17.0,7.0,6.0,74.0,144.0,11.0,10.0,0.0,10.0,1.0
2020,6,754,169,26.0,156.0,170.0,59.0,56.0,28.0,187.0,222.0,17.0,15.0,0.0,14.0,0.0
2020,7,1433,239,45.0,214.0,320.0,51.0,75.0,61.0,91.0,49.0,26.0,12.0,149.0,24.0,11.0
2020,8,1471,2259,43.0,307.0,360.0,30.0,56.0,64.0,51.0,38.0,34.0,24.0,83.0,13.0,10.0
2020,9,1784,1105,123.0,280.0,292.0,311.0,122.0,73.0,59.0,31.0,23.0,16.0,84.0,30.0,11.0
2020,10,1389,1141,98.0,160.0,210.0,150.0,59.0,26.0,264.0,65.0,41.0,14.0,7.0,16.0,6.0
